off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
201516,1628931,202652,203828,203563,1628909,200676,1628868,1627681,203831,2
1628909,200676,1628868,1627681,203831,201516,1628931,202652,203828,203563,2
201516,1628931,202652,203828,203563,1628909,200676,1628868,1627681,203831,0
1628909,200676,1628868,1627681,203831,201516,1628931,202652,203828,203563,0
201516,1628931,202652,203828,203563,1628909,200676,1628868,1627681,203831,0
1628909,200676,1628868,1627681,203831,201516,1628931,202652,203828,203563,2
201516,1628931,202652,203828,203563,1628909,200676,1628868,1627681,203831,0
1628909,200676,1628868,1627681,203831,201516,1628931,202652,203828,203563,0
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203563,0
1628890,1628931,203828,201516,203563,200676,203831,1627676,204365,1627681,0
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203563,0
1628890,1628931,203828,201516,203563,200676,203831,1627676,204365,1627681,2
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203563,0
1628890,1628931,203828,201516,203563,200676,203831,1627676,204365,1627681,0
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203563,0
1628890,1628931,203828,201516,203857,200676,203831,1627676,204365,1627681,2
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203857,2
1628890,1628931,203828,201516,203857,200676,203831,1627676,204365,1627681,0
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203857,0
1628890,1628931,203828,201516,203857,200676,203831,1627676,204365,1627681,0
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203857,0
1628890,1628931,203828,201516,203857,200676,203831,1627676,204365,1627681,0
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203857,2
1628890,1628931,203828,201516,203857,200676,203831,1627676,204365,1627681,2
200676,203831,1627676,204365,1627681,1628890,1628931,203828,201516,203857,0
202652,1628268,204323,1627674,203857,200676,203831,1627676,204365,1627681,1
200676,203831,1627676,204365,1627681,202652,1628268,204323,1627674,203857,2
202652,1628268,204323,1627674,203857,200676,203405,1628868,204365,1627681,2
200676,203405,1628868,204365,1627681,202652,1628268,204323,1627674,203857,0
202652,1628268,204323,1627674,203857,200676,203405,1628868,204365,1627681,0
200676,203405,1628868,204365,1628909,202652,1628268,204323,1627674,203857,0
202652,1628268,204323,1627674,203857,200676,203405,1628868,204365,1628909,2
200676,203405,1628868,204365,1628909,202652,1628268,204323,1627674,203857,2
202652,1628268,204323,1627674,203857,200676,203405,1628868,204365,1628909,0
200676,203405,1628868,204365,1628909,202652,1628268,204323,1627674,203857,0
202652,1628268,204323,1627674,203857,1628286,203405,1628868,1627676,1628909,2
1628286,203405,1628868,1627676,1628909,202652,1628268,204323,1627674,203857,0
202652,1628268,204323,1627674,203857,1628286,203405,1628868,1627676,1628909,0
1628286,203405,1628868,1627676,1628909,202652,1628268,204323,1627674,203857,0
202652,1628268,204323,1627674,203857,1628286,203405,1628868,1627676,1628909,2
1628286,203405,1628868,1627676,1628909,202652,1628268,204323,1627674,203857,0
202652,1628268,204323,1627674,203857,1628286,203405,1628868,1627676,1628909,0
1628286,203405,1628868,1627676,1628909,202652,1628268,204323,1627674,203857,2
202652,1628268,204323,1627674,203857,1628286,203405,1628868,1627676,1628909,2
1628286,203405,1628868,1627676,1628909,202652,1628268,204323,1627674,203857,3
202652,1628268,204323,1627674,203857,200676,203405,1628868,1627676,204365,1
200676,203405,1628868,1627676,204365,202652,1628268,204323,1627674,203857,1
202652,1628268,204323,1627674,203857,200676,203405,1628868,1627681,204365,2
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,0
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,0
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,0
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,2
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,0
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,0
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,2
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,2
